n,noiseParam,AE_mean,AE_sd
4,0.25,0.2309097622416058,0.15710454129178342
4,0.5,0.2389013705757127,0.17384874685439589
4,1,0.23633039039934545,0.1676242871668857
4,2,0.2408730494022793,0.18252520065030417
4,4,0.23997394243913664,0.1955267805310813
4,8,0.2244817014416111,0.19098739037622114
4,16,0.20660308000613553,0.1803478066192465
4,32,0.16571659815660186,0.15714084744170212
4,64,0.1361069340333946,0.13122171412372424
4,128,0.11551526384806746,0.11694951439155743
4,256,0.08515523283133829,0.0975345331441512
4,512,0.06254169044837977,0.07127126392609649
4,1024,0.04768899223523317,0.05792990732135064
4,2048,0.035689913295309905,0.05369505095695501
4,4096,0.02503749043988994,0.038792677202548004
4,8192,0.019494031810953726,0.03595484812752892
4,16384,0.014833610737577,0.035779529435173464
4,32768,0.011351563464165588,0.031867625078588695
4,65536,0.0095710365210161,0.030770798448453703
8,0.25,0.21081428338506253,0.12324429799489063
8,0.5,0.2114357494082452,0.12675745681179307
8,1,0.20787894780594487,0.12687369650564811
8,2,0.20361270509814589,0.1294122135185385
8,4,0.1905820967848392,0.13875984329352764
8,8,0.16636686303243142,0.13300989906811972
8,16,0.12941531386455113,0.11315221235342128
8,32,0.10062362144256182,0.09514750211499971
8,64,0.07916911358103966,0.07769919004946879
8,128,0.054187709852619816,0.05366398609092137
8,256,0.03927664137011558,0.04054671643803802
8,512,0.029394343884947126,0.031753810944839214
8,1024,0.022639933610002595,0.025799148435831906
8,2048,0.017136864052918355,0.022356327323916958
8,4096,0.012538967613442519,0.019705986618168938
8,8192,0.01013588169099922,0.018295849144664016
8,16384,0.008168536020081506,0.01775719114067003
8,32768,0.007500810471983695,0.018060259729968577
8,65536,0.006557668568521926,0.017748565506775046
16,0.25,0.18130994365402975,0.12137657291236885
16,0.5,0.18054238204205697,0.12156746703801684
16,1,0.1766969497134472,0.11804055914249262
16,2,0.1669522507682607,0.11742836181551988
16,4,0.15005455330986764,0.11344187825771564
16,8,0.11744946359520181,0.09679681680949487
16,16,0.07963791761349263,0.07769856295805438
16,32,0.05594344468193039,0.05585559423862612
16,64,0.04274975851844426,0.0419318768225726
16,128,0.030334814136297957,0.03141671720410584
16,256,0.02352133867999569,0.025712673891991042
16,512,0.019228248348670058,0.022318622324636668
16,1024,0.016594916953096787,0.021323178857557332
16,2048,0.014766892936900517,0.02022322276486648
16,4096,0.014688363320011078,0.02128728503997688
16,8192,0.013628924274942682,0.020664974958192906
16,16384,0.013170772166264538,0.02062212204547302
16,32768,0.012890964532514067,0.020377962563180318
16,65536,0.012793798315207227,0.02034690352705002
32,0.25,0.10829715691366569,0.10225600965753158
32,0.5,0.10403269368507624,0.09901299695198432
32,1,0.08750513242314714,0.08655327060636027
32,2,0.06521674643316251,0.07149253245045709
32,4,0.049102598589743994,0.05272084867213811
32,8,0.04006255376673679,0.04194594830550123
32,16,0.03340704097061867,0.04136119196935808
32,32,0.03309325117944006,0.04106358840936747
32,64,0.031575578046786075,0.04052590322037607
32,128,0.031026475847781263,0.04226241089163141
32,256,0.030437368798642832,0.04260692841188662
32,512,0.02994309063260089,0.0430391079140002
32,1024,0.029575663347996023,0.042832331470628704
32,2048,0.029733421066403153,0.0427917682109871
32,4096,0.02956257134906892,0.04341767722679731
32,8192,0.029274853498618927,0.04282085782827342
32,16384,0.029033976081176777,0.04244807861818072
32,32768,0.029056002386557592,0.04251797682927353
32,65536,0.029144711841912984,0.04261987548018536
64,0.25,0.0599462905912199,0.06362161045250568
64,0.5,0.05358978502984451,0.057637562321362065
64,1,0.05043392902830138,0.05382639483775918
64,2,0.04485055333246738,0.05196354613046867
64,4,0.04246582632529159,0.05241998845162316
64,8,0.0394488844697364,0.05095007046743334
64,16,0.03612621761774386,0.052000703736346125
64,32,0.03708542937492208,0.051832668930839446
64,64,0.03630483938438488,0.052198206103470285
64,128,0.036873221480316534,0.05360664295290618
64,256,0.036723221374463884,0.05304295819194494
64,512,0.036882055052852546,0.05385991455418902
64,1024,0.03661411921350317,0.053681054031653457
64,2048,0.03658034391503496,0.05326411984005638
64,4096,0.036962462151033056,0.05359415128654387
