n,noiseParam,AE_mean,AE_sd
4,0.0025,0.012576439742398032,0.036858649130122254
4,0.005,0.02254453250583228,0.046760547423146864
4,0.01,0.039933690702502356,0.05864211795739673
4,0.02,0.07000574316839378,0.08252821198696189
4,0.04,0.12045258590877653,0.13400499070532484
4,0.08,0.18593187940971262,0.17357054000214858
4,0.16,0.2478993576501293,0.208786425424831
4,0.32,0.2798843081049428,0.22654214470907993
4,0.64,0.27461225929647587,0.21443265118353455
8,0.0025,0.007029787338360579,0.017569143268903947
8,0.005,0.010108724460767193,0.019011291905361508
8,0.01,0.01695269291343398,0.02199617224355167
8,0.02,0.031219788421090057,0.0339016277254701
8,0.04,0.05628076105616003,0.055933064232166985
8,0.08,0.10120662008343172,0.09528419577862654
8,0.16,0.17381805760127486,0.15353027318876375
8,0.32,0.20180331419973113,0.13847647748170966
8,0.64,0.2166662817336093,0.1453308485943094
16,0.0025,0.012893354775431975,0.020542395350408933
16,0.005,0.01373708319177561,0.02055355795350651
16,0.01,0.015028320198957824,0.020667146068829145
16,0.02,0.019239435802355428,0.023213346037008847
16,0.04,0.02916803404678208,0.03053076923266869
16,0.08,0.05789534141913563,0.05805212554658178
16,0.16,0.11274472251034588,0.09964526282383374
16,0.32,0.16984320829208108,0.11715110388035198
16,0.64,0.19400422353455085,0.12112972702232082
32,0.0025,0.02916998103599759,0.04282169958715509
32,0.005,0.02909538402455442,0.042583519556119866
32,0.01,0.02948687419774815,0.042834618054677635
32,0.02,0.03021249024652889,0.04272608131784226
32,0.04,0.030404744954932405,0.041139373644502625
32,0.08,0.0332925946625673,0.04217515105884138
32,0.16,0.03888524530400968,0.0446989317895789
32,0.32,0.07899179152858465,0.07913356949870795
32,0.64,0.15979481361332784,0.11627539401889272
64,0.0025,0.03645491531714434,0.053245829981818545
64,0.005,0.03687389591619552,0.05378388190055045
64,0.01,0.03656497050309494,0.05369270781488963
64,0.02,0.036499714992870004,0.05339633449876874
64,0.04,0.03670505383127405,0.05240792382586787
64,0.08,0.03653045317836182,0.052359619987975586
64,0.16,0.04164074817182233,0.05586033367777462
64,0.32,0.04651460334439808,0.05205809590841754
64,0.64,0.12161916726267279,0.10715163608381136
128,0.0025,0.06267036312224226,0.09795836394704655
128,0.005,0.06363689331467944,0.09937655818473327
128,0.01,0.060174467449584504,0.0905768881941113
128,0.02,0.06399322506151592,0.10132235197185047
128,0.04,0.061209594166530906,0.09458451089462615
128,0.08,0.05998423966799627,0.0884054219190543
128,0.16,0.06333711954432175,0.10702629494741978
128,0.32,0.05499875497930084,0.06762423764528376
128,0.64,0.0727916406943615,0.07491275814003663
256,0.0025,0.5009411871468823,0.3924640222717925
256,0.005,0.5017963543992149,0.39162894151297517
256,0.01,0.4995082481336071,0.3927331365211909
256,0.02,0.49620385754768276,0.393385342081586
256,0.04,0.4917229928409885,0.39506893376784197
256,0.08,0.47548991197129303,0.39904252017676667
256,0.16,0.3915544112454963,0.39438551371687997
256,0.32,0.11681316347901861,0.19385514974728152
256,0.64,0.06265206543638782,0.0657632281658758
