n,noiseParam,AE_mean,AE_sd
4,0.0025,0.013627000676078086,0.012113968079516741
4,0.005,0.028890232217432036,0.029279180554247993
4,0.01,0.057754383608174684,0.07046429225555662
4,0.02,0.11878270031753559,0.13817742907554204
4,0.04,0.2235696503949945,0.23591389906627375
4,0.08,0.43820084951593063,0.454893692243394
4,0.16,0.9997270495215104,1.0798618274041303
4,0.32,2.2930887331520977,1.8074076947051716
4,0.64,3.7522809389589966,3.0239226148986655
8,0.0025,0.009130061953834413,0.007026479917388031
8,0.005,0.01832361320147281,0.015144207478336212
8,0.01,0.035791586357887144,0.027343427129194513
8,0.02,0.07169362917050795,0.05759601228695904
8,0.04,0.14771084864407044,0.12329719035691597
8,0.08,0.3106357871699267,0.25455597386427947
8,0.16,0.7672321646162497,0.6520268016228492
8,0.32,2.3731682326636556,1.3061017255580671
8,0.64,3.8710821336631858,0.8547304031386465
16,0.0025,0.00639697656822715,0.004821648343768452
16,0.005,0.013240487852169452,0.010254112863997356
16,0.01,0.024958524742221037,0.019509880719095183
16,0.02,0.051121856075569745,0.04081432828912818
16,0.04,0.10472329250645133,0.08186562843715785
16,0.08,0.239087886619385,0.18658952385806007
16,0.16,0.7149685080779503,0.5226792603780601
16,0.32,2.5207911318149665,0.9778513808225072
16,0.64,4.01411594838943,0.41568358314353115
32,0.0025,0.004412822452288187,0.003363525665875396
32,0.005,0.008969277039179512,0.006762859934671153
32,0.01,0.017577969346147443,0.013746266146606114
32,0.02,0.03657517373355652,0.02682725129140041
32,0.04,0.07646216612969393,0.057859741278849165
32,0.08,0.19979242641657038,0.15029724252741652
32,0.16,0.719397386359582,0.44020762179931244
32,0.32,2.685469235066416,0.7185373065055148
32,0.64,4.043825927397643,0.23604419656587003
64,0.0025,0.0030240001185122896,0.002318143513753453
64,0.005,0.0061141492378096116,0.004826978288137052
64,0.01,0.012706560915798,0.009404036845561342
64,0.02,0.02617661104222766,0.01897146846666399
64,0.04,0.058274790348518304,0.044842571450576636
64,0.08,0.17581886318023832,0.12908730516759193
64,0.16,0.73500478253749,0.3822764875498579
64,0.32,2.7807100435429066,0.5524287225242727
64,0.64,4.039234787829441,0.17130180767131606
128,0.0025,0.002102279398229463,0.0016669706766611254
128,0.005,0.004362988415494305,0.0033875901848602736
128,0.01,0.009328062315235973,0.007001895342954135
128,0.02,0.01944401400822707,0.014591367794943135
128,0.04,0.04829666237162021,0.03700118345756471
128,0.08,0.1623450337314056,0.11306518705573175
128,0.16,0.7386695917862388,0.3431392619032414
128,0.32,2.8384316721177054,0.43983943561545197
128,0.64,4.036180779618689,0.1393957539356149
256,0.0025,0.0014800211718065043,0.0011781910940353547
256,0.005,0.0031469405045836617,0.0024561282056427864
256,0.01,0.006563604897597592,0.004723970169912838
256,0.02,0.0155078674339158,0.011659694599976997
256,0.04,0.04327958664433003,0.03257162524414649
256,0.08,0.16079393227584224,0.10147544828251168
256,0.16,0.7337912381834293,0.31113520769430686
256,0.32,2.8585453141597847,0.3771078944634785
256,0.64,4.036084692103288,0.11731481566733187
