n,noiseParam,AE_mean,AE_sd
4,0.25,0.22572019408876876,0.14781134225857273
4,0.5,0.2298487518672785,0.15537665495417116
4,1,0.23387271026198556,0.16394434427980537
4,2,0.23373261622603814,0.16859562392109614
4,4,0.2446054178743632,0.193345070372281
4,8,0.24635956926292835,0.2040378040872281
4,16,0.21534188164586401,0.18549804328906597
4,32,0.18693155485997004,0.16686229071136416
4,64,0.1576705948597882,0.14626774448071597
4,128,0.11753777262736573,0.11119606596189267
4,256,0.09024714871642926,0.08584370652786442
4,512,0.06526034466808942,0.06526273783731731
4,1024,0.047647096711717955,0.0476259545131548
4,2048,0.03570433044077565,0.03865776804628117
4,4096,0.023961209259556224,0.02607697734165712
4,8192,0.017278251396886143,0.017873015041514343
4,16384,0.01158233652055558,0.011577009772513625
4,32768,0.008798451143982783,0.0096189633533688
4,65536,0.006326363464962072,0.0062676136128014615
8,0.25,0.2146307126115827,0.12422823004771322
8,0.5,0.21496270798459968,0.12494904422781401
8,1,0.21503226084503532,0.12907243106298916
8,2,0.21102960002970067,0.12995622104772953
8,4,0.21105219846586426,0.14175109347386183
8,8,0.19701588612202878,0.14185444019670632
8,16,0.1680974578732385,0.12996278313131565
8,32,0.1354329305706908,0.10860697190434071
8,64,0.10209710128985842,0.08448241808025563
8,128,0.07314518836944367,0.06307201719768338
8,256,0.05377807432774761,0.045342291987396054
8,512,0.03808348809247797,0.03183170962370849
8,1024,0.02945000713582373,0.025338282926857452
8,2048,0.021338584725466143,0.01900430898003483
8,4096,0.014049873829853928,0.012515690652547573
8,8192,0.010569379489118094,0.009337186573519451
8,16384,0.0070754904428313005,0.006335378479478735
8,32768,0.004923434082371072,0.004260037828769376
8,65536,0.0036535331544720966,0.0032901197921117406
16,0.25,0.21473757119674788,0.12413439590046699
16,0.5,0.21473757119674788,0.12413439590046699
16,1,0.21464563025256808,0.12420656847671056
16,2,0.21226714506790975,0.125069809349415
16,4,0.1994526284403488,0.12243195266301868
16,8,0.1795463319387217,0.11838200263975457
16,16,0.13817792055431785,0.1022343157509697
16,32,0.10338853476765957,0.08525299015247081
16,64,0.07669564258454073,0.061075744004034295
16,128,0.05079078423885598,0.042797782868136305
16,256,0.03790476091258565,0.030424253665616515
16,512,0.025681417930287883,0.020439779499406077
16,1024,0.01979603409358735,0.016028174064079314
