n,noiseParam,AE_mean,AE_sd
4,0.0025,0.01066817236913348,0.010418856220219829
4,0.005,0.021568973134655497,0.01979601751951904
4,0.01,0.04069541489883555,0.04101667205200161
4,0.02,0.07902938442765893,0.07553051396988437
4,0.04,0.1304823597770787,0.11153536118613983
4,0.08,0.22376473903053465,0.1848000193167836
4,0.16,0.28981566564466604,0.23198596889473727
4,0.32,0.2898740042848802,0.2272059685223602
4,0.64,0.26180333782334814,0.19707931076614477
8,0.0025,0.0066100186786929175,0.005304223226294939
8,0.005,0.01324859357119798,0.010949837496748771
8,0.01,0.025568338785069283,0.020710065923259573
8,0.02,0.050371344120761254,0.039573036046814634
8,0.04,0.09510043256914857,0.0760367726687709
8,0.08,0.16635668139143928,0.1268543362264504
8,0.16,0.22785487645366445,0.18063122552289343
8,0.32,0.2340287639928426,0.16226185727194992
8,0.64,0.2174806417524102,0.13188098491503578
16,0.0025,0.004540787178089731,0.0034498399471194997
16,0.005,0.009469430613443826,0.007554935492152087
16,0.01,0.01765004242028529,0.014267209237185524
16,0.02,0.03498947540612993,0.02847847066803162
16,0.04,0.06826776956528068,0.054118362760982114
16,0.08,0.12590357642110703,0.09744095687183817
16,0.16,0.19235671411372535,0.13397265373103556
16,0.32,0.2143826083326879,0.13112710340789452
16,0.64,0.21516630821682817,0.1260997299347894
32,0.0025,0.003163388939650461,0.0024046546718767266
32,0.005,0.006406103543451947,0.004763250278019181
32,0.01,0.012443666764798045,0.009584834646368664
32,0.02,0.02466632083604906,0.018073314825447724
32,0.04,0.047868938561017316,0.03792057701902216
32,0.08,0.10335135803166284,0.07715985918241315
32,0.16,0.18591138143867258,0.1187948778490674
32,0.32,0.21412112434231784,0.12431592940119195
32,0.64,0.2147343058477224,0.12413672635127491
64,0.0025,0.0022081805546063046,0.0016557857687082953
64,0.005,0.004328519863144956,0.00337198249001119
64,0.01,0.00890499648107016,0.0067261628192402416
64,0.02,0.01730061268369364,0.012734452925521505
64,0.04,0.035374259259521854,0.027109922596186675
64,0.08,0.08579613548230579,0.06494947874056665
64,0.16,0.1915942723283935,0.1175456301806745
64,0.32,0.21473757111896896,0.12413439581678422
64,0.64,0.21473751487591808,0.12413448588619061
128,0.0025,0.0015539504680307892,0.001190092361530528
128,0.005,0.0029764334216084366,0.0023367128453805814
128,0.01,0.006419406539519635,0.004685428602282124
128,0.02,0.012466333957936773,0.009271687668509984
128,0.04,0.02768478876860219,0.020853263017667094
128,0.08,0.07870230855558163,0.05293740370406959
128,0.16,0.20221641253180705,0.11888838251249802
128,0.32,0.21473757119674788,0.12413439590046699
128,0.64,0.21473752388733788,0.12413445335009012
256,0.0025,0.0010604573868863087,8.263506284893112e-4
256,0.005,0.0021328697791048487,0.0016892212743538089
256,0.01,0.00435887136543031,0.0033093297687481317
256,0.02,0.009253610767339503,0.00713149477346684
256,0.04,0.022869138537067728,0.01653921988523163
256,0.08,0.07405579499716845,0.04262627065667697
256,0.16,0.2082539414604329,0.11948562969138986
256,0.32,0.21473707016787486,0.1241338877717727
256,0.64,0.2147371603381231,0.12413482385251721
